type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,0,-96,0,6,0,3356417,0,110,0,0,3.10203,256,[0 0 -2 12 -1 12 0 12 1 12 2 13 3 13 3 14 3 14 3 14 3 14 3 13 3 13 3 13 3 12 3 11 3 10 4 10 4 10 5 9 5 10 5 10 5 11 4 12 3 12 1 13 -1 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 11 -6 11 -7 11 -9 10 -10 9 -10 8 -10 7 -10 6 -10 6 -9 7 -8 7 -8 7 -7 9 -7 10 -7 10 -8 11 -8 11 -8 12 -8 13 -8 13 -8 13 -8 13 -8 12 -7 12 -6 12 -5 12 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-20,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3358835,0,110,0,0,3.13935,256,[0 0 -4 12 -3 12 -1 13 -1 13 0 14 1 14 1 15 1 15 1 15 1 14 1 14 2 13 2 12 2 12 2 11 3 11 4 10 4 10 5 10 5 11 5 12 5 13 3 13 2 13 0 13 -3 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 11 -8 10 -9 10 -11 10 -12 8 -13 6 -13 5 -12 5 -12 4 -11 5 -10 5 -10 6 -9 7 -9 8 -9 9 -9 10 -10 10 -10 11 -10 12 -10 12 -10 12 -10 12 -10 11 -9 12 -8 12 -7 11 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3471788,0,110,0,0,3.1836,256,[0 0 1 12 2 12 4 13 4 13 6 13 6 13 7 14 7 14 7 13 7 13 6 12 6 12 6 11 6 11 7 10 7 9 8 9 8 8 8 8 9 8 9 9 9 11 8 12 6 12 4 13 2 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 12 -3 12 -5 13 -6 13 -8 12 -9 11 -9 10 -9 9 -9 9 -8 9 -8 8 -7 9 -6 10 -6 11 -5 12 -5 12 -5 13 -5 14 -5 15 -5 16 -5 15 -4 15 -4 14 -4 15 -3 14 -2 13 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3473120,0,110,0,0,3.21449,256,[0 0 -11 -8 -11 -8 -13 -7 -13 -5 -14 -6 -15 -5 -15 -5 -15 -5 -15 -4 -15 -4 -15 -4 -14 -4 -14 -4 -14 -3 -13 -3 -12 -2 -12 -2 -12 0 -12 0 -13 0 -13 0 -14 -1 -14 -3 -14 -4 -13 -5 -12 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -10 -8 -11 -7 -13 -5 -14 -4 -14 -3 -14 -2 -13 -2 -13 -2 -12 -2 -12 -3 -11 -4 -11 -5 -12 -5 -12 -6 -13 -7 -12 -8 -13 -8 -13 -8 -14 -8 -14 -8 -14 -8 -14 -9 -13 -9 -13 -9 -12 -9 -10 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3473320,0,110,0,0,3.25882,256,[0 0 2 11 4 11 5 11 6 11 7 12 8 12 8 12 8 12 8 11 8 11 7 11 8 10 8 10 8 9 7 7 8 7 9 7 9 6 10 6 10 7 10 7 10 9 9 10 8 11 6 11 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -1 11 -3 13 -5 13 -6 12 -7 11 -8 11 -8 10 -8 9 -8 9 -7 9 -6 9 -5 10 -4 10 -4 11 -3 12 -3 13 -3 13 -3 15 -3 15 -3 15 -3 15 -3 14 -2 14 -1 14 0 12 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3474002,0,110,0,0,3.29532,256,[0 0 -8 -10 -9 -9 -10 -9 -11 -8 -12 -8 -13 -8 -13 -8 -13 -8 -13 -7 -13 -7 -13 -7 -13 -7 -12 -7 -12 -6 -11 -5 -11 -5 -11 -4 -11 -3 -12 -3 -12 -3 -12 -3 -13 -4 -13 -6 -12 -7 -11 -8 -10 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -11 -6 -12 -4 -14 -3 -15 -1 -14 0 -14 1 -13 1 -13 1 -12 1 -12 0 -11 -1 -11 -1 -12 -2 -12 -4 -13 -4 -13 -5 -14 -5 -14 -5 -15 -5 -15 -5 -16 -5 -15 -5 -14 -5 -14 -6 -13 -6 -12 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-19,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3636549,0,110,0,0,3.34834,256,[0 0 12 1 12 0 12 -2 13 -3 13 -4 13 -4 14 -5 14 -5 14 -6 14 -5 14 -6 13 -5 12 -5 11 -5 10 -6 10 -7 9 -7 9 -8 9 -8 9 -9 10 -9 11 -8 11 -7 12 -6 13 -4 13 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 3 12 5 11 7 10 8 9 9 9 10 8 10 7 10 7 10 6 9 7 8 8 8 8 7 9 7 10 7 11 6 12 6 13 7 13 7 13 7 13 7 13 7 13 6 13 6 12 5 12 3 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-20,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3636749,0,110,0,0,3.37624,256,[0 0 -10 -8 -11 -7 -12 -7 -12 -5 -14 -6 -14 -5 -15 -6 -15 -5 -15 -4 -14 -4 -14 -4 -14 -4 -13 -4 -13 -3 -12 -2 -11 -1 -12 -1 -11 0 -12 1 -12 1 -13 0 -14 -1 -14 -2 -14 -4 -13 -5 -12 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -9 -7 -11 -6 -13 -4 -14 -3 -15 -2 -14 -1 -13 0 -13 -1 -12 0 -12 -2 -11 -3 -11 -3 -12 -4 -12 -5 -12 -6 -12 -7 -12 -7 -13 -7 -15 -7 -15 -8 -15 -8 -14 -8 -13 -8 -13 -8 -12 -8 -10 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-20,11,1,7,0,1,1,1,0,0,1,-96,0,6,0,3637875,0,110,0,0,3.41985,256,[0 0 -13 1 -13 2 -13 3 -13 5 -13 5 -14 6 -14 6 -14 7 -14 8 -14 7 -14 7 -13 7 -12 7 -11 7 -10 7 -9 7 -9 7 -8 8 -8 9 -9 9 -9 10 -10 9 -11 8 -12 7 -13 6 -14 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -2 -14 -4 -13 -6 -13 -8 -12 -9 -11 -10 -10 -10 -10 -10 -9 -10 -8 -9 -9 -8 -10 -7 -10 -6 -11 -6 -12 -6 -14 -5 -15 -5 -15 -6 -15 -5 -15 -6 -16 -5 -16 -5 -16 -5 -15 -4 -14 -3 -14 -2 ]
CSI_DATA,STA,82:FB:A9:3F:02:09,-20,11,1,3,0,1,1,1,0,0,0,-96,0,6,0,3667716,0,110,0,0,3.46169,256,[0 0 -10 11 -8 11 -7 12 -7 13 -5 13 -5 14 -5 14 -5 15 -6 15 -6 14 -6 14 -5 13 -4 12 -4 11 -3 11 -3 11 -1 10 -1 11 -1 11 -1 12 -1 12 -1 12 -3 12 -4 12 -7 11 -9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 9 -10 8 -11 6 -12 5 -13 4 -14 2 -13 1 -13 1 -12 1 -11 1 -11 1 -11 2 -11 3 -11 4 -11 5 -13 6 -14 7 -14 7 -13 8 -14 8 -14 8 -14 8 -15 8 -13 8 -13 9 -13 9 ]
